#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2026-07-24-01-00-16
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	ip_proto
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]	count
1784835436.919691	CN8jDt4wIZOclzRQBk	192.168.100.1	5353	224.0.0.251	5353	udp	dns	0.762039	810	0	S0	T	T	0	D	6	978	0	0	-	17
1784835436.920562	CWO4WT2tjuHCXalrDk	fe80::6f7a:904c:262b:4415	5353	ff02::fb	5353	udp	dns	0.761168	810	0	S0	T	F	0	D	6	1098	0	0	-	17
1784835454.129004	CilhTI3UAu2f09InH1	192.168.100.1	63842	192.168.100.120	22	tcp	-	0.253616	3189	0	OTH	T	T	0	ScADcR	33	4521	0	0	-	6
1784835483.950911	CpZxUD3P6sx58afBic	192.168.100.1	63848	192.168.100.120	22	tcp	-	0.593670	3189	0	OTH	T	T	0	ScADcR	34	4561	0	0	-	6
1784835490.273214	C2UASl2KNSI4RHIprk	192.168.100.1	57739	192.168.100.100	443	tcp	-	0.008044	2072	256	SF	T	T	2042	ShACaGdDFf	5	242	4	428	-	6
1784835490.284251	CzYTT426ZdWMtgjuY9	192.168.100.1	59863	192.168.100.100	443	tcp	-	0.008622	2040	256	SF	T	T	2010	ShACaGdDFf	5	242	4	428	-	6
1784835490.291309	ChQ13fzbk0lbPlISi	192.168.100.1	58418	192.168.100.100	443	tcp	-	0.010151	1769	1481	SF	T	T	3220	ShACaGcgDFf	6	282	3	132	-	6
1784835490.362739	CBPLbM1JrbwxWIWsG4	192.168.100.1	57099	192.168.100.100	443	tcp	-	0.011499	2104	256	SF	T	T	2074	ShACaGdDFf	5	242	4	428	-	6
1784835490.366227	CSPjOSSu0Z9gjxM0a	192.168.100.1	52198	192.168.100.100	443	tcp	-	0.013166	2104	256	SF	T	T	2074	ShACaGdDFf	5	242	4	428	-	6
1784835490.374611	C8X7vG7sWZLhDLNpb	192.168.100.1	49191	192.168.100.100	443	tcp	-	0.019259	1737	1481	SF	T	T	3188	ShACaGcgDFf	6	282	3	132	-	6
1784835490.379393	CyrVvq1BnNJynQwc5e	192.168.100.1	65468	192.168.100.100	443	tcp	-	0.019867	1833	1481	SF	T	T	3284	ShACaGcgDFf	6	282	3	132	-	6
1784835490.490033	CAk7DI1DQoA10fcE99	192.168.100.1	54614	192.168.100.100	443	tcp	-	0.019934	2072	256	SF	T	T	2042	ShACaGdDFf	5	242	4	428	-	6
1784835490.490034	CM8Kl12zNXNxlEIqxl	192.168.100.1	52117	192.168.100.100	443	tcp	-	0.024033	2104	256	SF	T	T	2074	ShACaGdDFf	5	242	4	428	-	6
