"RunID","Timestamp","SourceIP","DestinationIP","DestinationPort","PolicyName","AssetScore","PolicyScore","BehaviorScore","WazuhScore","CorrelationScore","RiskScore","Classification","MatchedWazuhCount","MatchedHostSides","MatchedRuleIDs","TimeDifferenceMinutes"
"A1-PILOT","2026-08-08T16:23:18.684Z","192.168.100.20","192.168.100.40","22","workstation_remote_management","10","8","6","8","6","30","Likely Malicious","6","destination","2502;5503;5710","0.094"
"A3-PILOT","2026-08-08T16:40:41.228Z","192.168.100.20","192.168.100.40","22","workstation_remote_management","10","8","9","8","6","30","Likely Malicious","1","destination","5710","0.013"
"U1-PILOT","2026-08-08T16:56:59.790Z","192.168.101.60","192.168.100.40","5432","unknown_internal_to_critical_asset","10","5","7","7","7","30","Likely Malicious","12","destination","5402;5501;5502;5715","0.575"
"U1-PILOT","2026-08-08T16:57:04.954Z","192.168.101.60","192.168.100.40","5432","unknown_internal_to_critical_asset","10","5","7","7","7","30","Likely Malicious","12","destination","5402;5501;5502;5715","0.661"
"U1-PILOT","2026-08-08T16:57:11.127Z","192.168.101.60","192.168.100.40","5432","unknown_internal_to_critical_asset","10","5","7","7","7","30","Likely Malicious","12","destination","5402;5501;5502;5715","0.764"
"U1-PILOT","2026-08-08T16:57:19.315Z","192.168.101.60","192.168.100.40","5432","unknown_internal_to_critical_asset","10","5","7","7","7","30","Likely Malicious","12","destination","5402;5501;5502;5715","0.9"
"U1-PILOT","2026-08-08T16:57:35.447Z","192.168.101.60","192.168.100.40","5432","unknown_internal_to_critical_asset","10","5","10","7","7","30","Likely Malicious","12","destination","5402;5501;5502;5715","1.169"
"U1-PILOT","2026-08-08T16:58:07.080Z","192.168.101.60","192.168.100.40","5432","unknown_internal_to_critical_asset","10","5","10","7","7","30","Likely Malicious","12","destination","5402;5501;5502;5715","1.696"
"U1-PILOT","2026-08-08T16:58:12.194Z","192.168.101.60","192.168.100.40","5432","unknown_internal_to_critical_asset","10","5","10","7","7","30","Likely Malicious","12","destination","5402;5501;5502;5715","1.782"
"U1-PILOT","2026-08-08T16:58:18.252Z","192.168.101.60","192.168.100.40","5432","unknown_internal_to_critical_asset","10","5","10","7","7","30","Likely Malicious","12","destination","5402;5501;5502;5715","1.883"
